game_id,team_name,team_id,type,record,abb,firstdowns_no,firstdowns_rush,firstdowns_pass,firstdowns_penalty,penalties_no,penalties_yds,conversions_thirdconv,conversions_thirdatt,conversions_fourthconv,conversions_fourthatt,fumbles_no,fumbles_lost,misc_yds,misc_top,misc_ona,misc_onm,misc_ptsto,redzone_att,redzone_scores,redzone_points,redzone_tdrush,redzone_tdpass,redzone_fgmade,redzone_endfga,redzone_enddowns,redzone_endint,redzone_endfumb,redzone_endhalf,redzone_endgame,rush_att,rush_yds,rush_gain,rush_loss,rush_td,rush_long,pass_comp,pass_att,pass_int,pass_yds,pass_td,pass_long,pass_sacks,pass_sackyds,rcv_no,rcv_yds,rcv_td,rcv_long,punt_no,punt_yds,punt_long,punt_blkd,punt_tb,punt_fc,punt_plus50,punt_inside20,punt_avg,ko_no,ko_yds,ko_ob,ko_tb,ko_fcyds,pat_kickatt,pat_kickmade,pat_passatt,pat_passmade,pat_rcvatt,pat_rcvmade,defense_tackua,defense_tacka,defense_tot_tack,defense_tflua,defense_tfla,defense_tflyds,defense_sacks,defense_sackyds,defense_brup,defense_blkd,defense_int,defense_intyds,kr_no,kr_yds,kr_td,kr_long,ir_no,ir_yds,ir_td,ir_long,scoring_td,scoring_patkick,scoring_patrcv,fg_made,fg_att,fg_long,fg_blkd,defense_saf,pr_no,pr_yds,pr_td,pr_long,scoring_saf,defense_ff,defense_fr,defense_fryds,fr_no,fr_yds,fr_td,fr_long,pat_retkatt,pat_retkmade,scoring_fg,pat_retfatt,pat_retfmade,scoring_patretfumb,pat_rushatt,pat_rushmade,scoring_patrush,defense_qbh,scoring_patretkick,rank
2021_10_LK_CC,Leipzig Kings,LK,away,4-4,L,20,10,10,0,7,50,2,8,2,3,1,1,0,27:26,0,0,14,3,3,20,0,3,0,0,0,0,0,0,0,24,231,232,1,1,40,16,25,0,171,5,48,3,18,16,189,5,48,2,42,42,1,0,0,0,0,21.0,8,412,0,1,0,2,2,3,1,1,1,35,34,69,5,8,26,5,17,2,NA,NA,NA,2,19,0,12,NA,NA,NA,NA,6,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,60,2,60,0,39,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA
2021_10_LK_CC,Cologne Centurions,CC,home,4-4,C,19,9,8,2,4,27,7,13,0,2,3,2,-5,32:34,0,0,7,4,3,22,2,1,0,0,1,0,0,0,0,30,148,152,4,2,26,16,26,0,149,1,35,5,17,16,166,1,35,2,62,40,0,1,0,0,0,31.0,4,185,0,1,0,2,2,NA,NA,NA,NA,22,22,44,2,2,18,3,18,1,1,NA,NA,6,198,0,48,NA,NA,NA,NA,3,2,NA,0,1,0,0,1,2,14,0,12,1,NA,1,0,NA,NA,NA,NA,NA,NA,NA,1,0,NA,1,1,1,NA,NA,NA
2021_10_PW_HD,Panthers Wroclaw,PW,away,3-4,P,24,9,9,6,5,68,4,14,2,2,0,0,0,35:06,0,0,0,4,2,10,1,0,1,1,0,0,0,1,0,35,128,141,13,1,17,23,33,1,341,2,80,2,14,23,355,2,80,2,75,42,0,0,1,0,1,37.5,7,430,0,0,0,3,3,NA,NA,NA,NA,30,20,50,4,0,19,1,10,5,NA,NA,NA,3,87,0,41,NA,NA,NA,NA,3,3,NA,3,4,52,0,NA,2,49,0,33,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021_10_PW_HD,Hamburg Sea Devils,HD,home,7-1,H,14,7,6,1,8,94,2,9,0,0,1,0,0,24:54,0,0,0,3,3,17,1,1,1,0,0,0,0,0,0,23,115,124,9,1,19,15,24,0,166,1,56,1,10,15,176,1,56,6,264,59,0,1,1,2,2,44.0,5,297,0,2,0,3,3,NA,NA,NA,NA,34,46,80,6,4,27,2,14,5,NA,1,0,7,280,1,95,1,0,0,0,3,3,NA,1,1,31,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021_10_BD_BT,Barcelona Dragons,BD,away,3-6-0,D,20,5,11,4,4,45,5,16,2,3,4,4,7,33:21,0,0,0,2,1,3,0,0,1,0,0,1,0,0,0,25,84,102,18,0,22,19,39,3,149,0,40,13,46,19,195,0,40,4,122,46,1,0,0,0,1,30.5,2,12,0,0,0,NA,NA,NA,NA,NA,NA,32,22,54,7,0,32,1,3,2,1,NA,NA,4,94,0,36,NA,NA,NA,NA,NA,NA,NA,1,2,30,0,NA,2,22,0,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3
2021_10_BD_BT,Berlin Thunder,BT,home,2-6-0,B,12,7,3,2,10,101,4,16,1,1,1,0,0,29:39,0,0,13,3,2,6,0,0,2,1,0,0,0,0,0,34,173,197,24,0,56,8,21,0,58,0,19,1,3,8,61,0,19,8,224,36,0,0,1,0,1,28.0,4,196,0,0,0,2,1,NA,NA,NA,NA,42,32,74,9,4,57,13,46,2,1,3,153,2,-80,0,0,3,153,2,100,2,1,NA,2,4,36,1,NA,NA,NA,NA,NA,NA,2,4,0,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,4
2021_11_SS_CC,Stuttgart Surge,SS,away,2-6,S,7,1,5,1,4,40,2,11,0,1,0,0,0,25:42,0,0,6,1,1,3,0,0,1,0,0,0,0,0,0,21,44,52,8,0,7,10,18,2,101,1,45,5,34,10,135,1,45,5,171,47,0,0,0,0,0,34.2,3,157,0,0,0,1,0,NA,NA,NA,NA,41,26,67,5,4,20,2,5,1,NA,1,3,4,63,0,23,1,3,0,3,1,NA,NA,1,1,31,0,NA,3,16,0,10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021_11_SS_CC,Cologne Centurions,CC,home,4-4,C,17,12,5,0,6,41,5,14,4,5,1,0,1,34:18,0,0,0,3,2,13,1,1,0,0,1,0,0,0,0,43,174,192,18,2,40,11,19,1,96,1,24,2,5,11,101,1,24,4,129,56,0,0,0,1,1,32.2,4,214,0,0,0,1,1,2,0,NA,NA,34,8,42,6,2,42,5,34,4,NA,2,14,3,80,0,40,2,14,0,14,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021_11_FG_BD,Frankfurt Galaxy,FG,away,8-0-1,F,25,7,15,3,9,114,4,9,0,2,0,0,0,30:12,0,0,0,3,2,14,0,2,0,1,0,0,0,0,0,25,81,122,41,0,18,24,39,2,270,3,23,4,39,24,270,3,23,1,39,39,0,0,0,0,0,39.0,4,257,0,0,0,1,0,1,1,1,1,28,24,52,9,2,72,5,25,3,NA,NA,NA,1,16,0,16,NA,NA,NA,NA,3,NA,1,0,2,0,0,NA,2,22,0,26,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA
2021_11_FG_BD,Barcelona Dragons,BD,home,3-0-7,B,13,4,4,5,6,42,3,13,4,5,1,1,0,27:28,0,0,0,1,1,8,0,1,0,0,0,0,0,0,0,21,-30,43,73,0,10,18,29,0,118,1,17,5,25,18,118,1,17,4,129,38,0,0,0,0,0,32.2,3,161,0,1,0,1,0,NA,NA,NA,NA,33,24,57,5,0,41,4,39,6,NA,2,8,4,193,1,100,2,8,0,8,2,NA,NA,0,1,0,0,NA,1,11,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA
