game_id,away_team_id,home_team_id,away_team,home_team,date,location,stadium,start,end,leaguegame,nitegame,schednote,duration,attend,temp,wind,weather,ref,ump,line,lj,bj,fj,sj,posteam,down,togo,spot,context,play_id,play_type,clock,tokens,desc,newcontext,first_down_with,oob,turnover,score,away_score_post,home_score_post,drive_number,drive_vh,drive_team,drive_start,drive_end,drive_plays,drive_yards,drive_top,drive_start_how,drive_start_qtr,drive_start_time,drive_start_spot,drive_end_how,drive_end_qtr,drive_end_time,drive_end_spot,drive_rz,cj,alt
2021_03_SS_BT,SS,BT,Stuttgart Surge,Berlin Thunder,7/4/2021,Berlin,Stadion am Wurfplatz,15:00,17:55,Y,NA,NA,02.55,800,26 C,no,partly cloudy,M. Scholz,B. Hansen,K. Haltermann,B. Schaumberg,Z. Hamiko,M. Hoffmann,V. Kreisman,BT,1,10,BT32,"H,1,10,H32","12,1,87",NA,01:14,{DRIVE}:01:14,BERLIN THUNDER drive start at 01:14.,"H,1,10,H32",NA,0,NA,0,14,18,12,H,BT,"KO,2,01:14,32","HALF,2,00:00,86",11,54,1:14,KO,2,01:14,BT32,HALF,2,00:00,SS14,1,E. Christensen,E. Christensen
2021_03_SS_BT,SS,BT,Stuttgart Surge,Berlin Thunder,7/4/2021,Berlin,Stadion am Wurfplatz,15:00,17:55,Y,NA,NA,02.55,800,26 C,no,partly cloudy,M. Scholz,B. Hansen,K. Haltermann,B. Schaumberg,Z. Hamiko,M. Hoffmann,V. Kreisman,BT,1,10,BT32,"H,1,10,H32","12,2,88",rush,NA,"RUSH:6,H40, TACK:93",C. Stitt rush for 8 yards to the BT40 (93).,"H,2,2,H40",NA,0,NA,0,14,18,12,H,BT,"KO,2,01:14,32","HALF,2,00:00,86",11,54,1:14,KO,2,01:14,BT32,HALF,2,00:00,SS14,1,E. Christensen,E. Christensen
2021_03_SS_BT,SS,BT,Stuttgart Surge,Berlin Thunder,7/4/2021,Berlin,Stadion am Wurfplatz,15:00,17:55,Y,NA,NA,02.55,800,26 C,no,partly cloudy,M. Scholz,B. Hansen,K. Haltermann,B. Schaumberg,Z. Hamiko,M. Hoffmann,V. Kreisman,BT,2,2,BT40,"H,2,2,H40","12,3,89",pass,NA,"PASS:6,C,7,H44 TACK:23","C. Stitt pass complete to S. Jones for 4 yards to the BT44, 1ST DOWN BT (M. Dabo).","H,1,10,H44",pass,0,NA,0,14,18,12,H,BT,"KO,2,01:14,32","HALF,2,00:00,86",11,54,1:14,KO,2,01:14,BT32,HALF,2,00:00,SS14,1,E. Christensen,E. Christensen
2021_03_SS_BT,SS,BT,Stuttgart Surge,Berlin Thunder,7/4/2021,Berlin,Stadion am Wurfplatz,15:00,17:55,Y,NA,NA,02.55,800,26 C,no,partly cloudy,M. Scholz,B. Hansen,K. Haltermann,B. Schaumberg,Z. Hamiko,M. Hoffmann,V. Kreisman,BT,1,10,BT44,"H,1,10,H44","12,4,90",rush,NA,"RUSH:6,H41, TACK:99",C. Stitt rush for loss of 3 yards to the BT41 (S. Vardar).,"H,2,13,H41",NA,0,NA,0,14,18,12,H,BT,"KO,2,01:14,32","HALF,2,00:00,86",11,54,1:14,KO,2,01:14,BT32,HALF,2,00:00,SS14,1,E. Christensen,E. Christensen
2021_03_SS_BT,SS,BT,Stuttgart Surge,Berlin Thunder,7/4/2021,Berlin,Stadion am Wurfplatz,15:00,17:55,Y,NA,NA,02.55,800,26 C,no,partly cloudy,M. Scholz,B. Hansen,K. Haltermann,B. Schaumberg,Z. Hamiko,M. Hoffmann,V. Kreisman,BT,2,13,BT41,"H,2,13,H41","12,5,91",penalty,NA,"PASS:6,I,17,* PEN:V,RP,A,98,V44,1 NOPLAY:","C. Stitt pass incomplete to E. Drossard, PENALTY SS roughing passer (M. Fuerst) 15 yards to the SS44, 1ST DOWN BT, NO PLAY.","H,1,10,V44",penalty,0,NA,0,14,18,12,H,BT,"KO,2,01:14,32","HALF,2,00:00,86",11,54,1:14,KO,2,01:14,BT32,HALF,2,00:00,SS14,1,E. Christensen,E. Christensen
2021_03_SS_BT,SS,BT,Stuttgart Surge,Berlin Thunder,7/4/2021,Berlin,Stadion am Wurfplatz,15:00,17:55,Y,NA,NA,02.55,800,26 C,no,partly cloudy,M. Scholz,B. Hansen,K. Haltermann,B. Schaumberg,Z. Hamiko,M. Hoffmann,V. Kreisman,BT,1,10,SS44,"H,1,10,V44","12,6,92",rush,NA,"RUSH:1,V26, TACK:44","J. Crawford rush for 18 yards to the SS26, 1ST DOWN BT (J. Mbala).","H,1,10,V26",rush,0,NA,0,14,18,12,H,BT,"KO,2,01:14,32","HALF,2,00:00,86",11,54,1:14,KO,2,01:14,BT32,HALF,2,00:00,SS14,1,E. Christensen,E. Christensen
2021_03_SS_BT,SS,BT,Stuttgart Surge,Berlin Thunder,7/4/2021,Berlin,Stadion am Wurfplatz,15:00,17:55,Y,NA,NA,02.55,800,26 C,no,partly cloudy,M. Scholz,B. Hansen,K. Haltermann,B. Schaumberg,Z. Hamiko,M. Hoffmann,V. Kreisman,BT,1,10,SS26,"H,1,10,V26","12,7,93",pass,NA,"PASS:6,I,17,*",C. Stitt pass incomplete to E. Drossard.,"H,2,10,V26",NA,0,NA,0,14,18,12,H,BT,"KO,2,01:14,32","HALF,2,00:00,86",11,54,1:14,KO,2,01:14,BT32,HALF,2,00:00,SS14,1,E. Christensen,E. Christensen
2021_03_SS_BT,SS,BT,Stuttgart Surge,Berlin Thunder,7/4/2021,Berlin,Stadion am Wurfplatz,15:00,17:55,Y,NA,NA,02.55,800,26 C,no,partly cloudy,M. Scholz,B. Hansen,K. Haltermann,B. Schaumberg,Z. Hamiko,M. Hoffmann,V. Kreisman,BT,2,10,SS26,"H,2,10,V26","12,8,94",pass,NA,"PASS:6,I,88,*",C. Stitt pass incomplete to T. Ndongo.,"H,3,10,V26",NA,0,NA,0,14,18,12,H,BT,"KO,2,01:14,32","HALF,2,00:00,86",11,54,1:14,KO,2,01:14,BT32,HALF,2,00:00,SS14,1,E. Christensen,E. Christensen
2021_03_SS_BT,SS,BT,Stuttgart Surge,Berlin Thunder,7/4/2021,Berlin,Stadion am Wurfplatz,15:00,17:55,Y,NA,NA,02.55,800,26 C,no,partly cloudy,M. Scholz,B. Hansen,K. Haltermann,B. Schaumberg,Z. Hamiko,M. Hoffmann,V. Kreisman,BT,3,10,SS26,"H,3,10,V26","12,9,95",pass,NA,"PASS:6,C,7,V11 TACK:33,8","C. Stitt pass complete to S. Jones for 15 yards to the SS11, 1ST DOWN BT (B. Wenzler;V. Ferrier).","H,1,10,V11",pass,0,NA,0,14,18,12,H,BT,"KO,2,01:14,32","HALF,2,00:00,86",11,54,1:14,KO,2,01:14,BT32,HALF,2,00:00,SS14,1,E. Christensen,E. Christensen
2021_03_SS_BT,SS,BT,Stuttgart Surge,Berlin Thunder,7/4/2021,Berlin,Stadion am Wurfplatz,15:00,17:55,Y,NA,NA,02.55,800,26 C,no,partly cloudy,M. Scholz,B. Hansen,K. Haltermann,B. Schaumberg,Z. Hamiko,M. Hoffmann,V. Kreisman,BT,1,10,SS11,"H,1,10,V11","12,10,96",pass,NA,"PASS:6,I,88,*",C. Stitt pass incomplete to T. Ndongo.,"H,2,10,V11",NA,0,NA,0,14,18,12,H,BT,"KO,2,01:14,32","HALF,2,00:00,86",11,54,1:14,KO,2,01:14,BT32,HALF,2,00:00,SS14,1,E. Christensen,E. Christensen
